NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100900013,01524,창신쌍용2단지.한성대후문,127.0127581,37.5812648
100900045,01525,통일부,126.9859477,37.58759481
100900011,01526,원서고개,126.9878088,37.58308055
100900185,01527,구기동,126.9591856,37.60697999
100900009,01528,종로5가입구.혜화경찰서,126.9975411,37.57174724
100900007,01529,삼청파출소,126.981251,37.58181366
100900005,01530,오거리.한옥마을입구,126.9696126,37.5793708
100900046,01531,명륜시장.성대후문,126.9952543,37.58851105
100900003,01532,혜화초등학교,126.9998517,37.58725323
100900072,01533,청련사입구,126.9624312,37.60798038
100900071,01534,영천시장,126.9628352,37.57000501
100900070,01535,명신초.삼선푸르지오.힐스테이트,127.0145563,37.58210621
100900069,01536,감사원,126.9852901,37.58621065
100900068,01537,중앙중고,126.9869653,37.58309218
100900067,01538,인왕빌딩,126.9577443,37.60792833
100900066,01539,종로4가.종묘공원,126.9944624,37.57063281
100900174,01540,국립민속박물관,126.9795534,37.57925518
100900065,01541,광화문새마을금고,126.9711466,37.57936877
100900064,01542,새마을금고,126.9965181,37.58773706
100900063,01543,혜화우체국,127.0006137,37.58603766
100900062,01544,언덕앞,126.9637922,37.60895398
100900061,01545,경희궁자이4단지,126.9621148,37.57070222
100900060,01546,종로센트레빌후문.e편한세상보문아파트,127.0161855,37.58177439
100900059,01547,사우디대사관앞.경남빌라,126.9850312,37.58410567
100900058,01548,안국선원.삼거리,126.9849941,37.58279098
100900182,01549,구기터널입구,126.9567769,37.60820461
100900057,01550,종로3가.1.3.5호선,126.9921807,37.57107299
100900056,01551,경복궁,126.9793378,37.57695016
100900055,01552,경복궁역,126.9722765,37.57667748
100900054,01553,소나무집,126.9641105,37.61127707
100900186,01554,독립문역3번출구,126.9597453,37.57287848
100900053,01555,청룡사.보문파크뷰자이아파트,127.0170071,37.58001895
100900052,01556,북촌한옥마을입구.정세권활동터,126.9849422,37.58159973
100900217,01557,종로1.2.3.4가동주민센터,126.9911314,37.57438371
